# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-HT-8563	-0.532000	0.514000
TCGA-DU-6542	-0.885000	0.646000
TCGA-HW-8321	-0.265000	1.042000
TCGA-HT-7603	-0.631000	0.100000
TCGA-HT-7686	-0.825000	0.567000
TCGA-HT-7689	-0.759000	0.100000
TCGA-TM-A84Q	-0.959000	0.885000
TCGA-HT-7604	-0.232000	1.574000
TCGA-HT-A74O	-0.212000	0.988000
TCGA-WY-A859	-0.806000	0.708000
TCGA-P5-A780	-0.831000	1.636000
TCGA-TM-A84I	-1.040000	3.757000
TCGA-QH-A6X3	-0.100000	0.982000
TCGA-HT-7873	-0.878000	1.770000
TCGA-DU-7304	-0.262000	0.936000
TCGA-TM-A7C4	-0.728000	0.720000
TCGA-DU-7010	-0.909000	1.888000
TCGA-HT-7855	-0.524000	0.514000
TCGA-CS-6665	-0.564000	0.758000
TCGA-S9-A6TV	-0.974000	0.211000
TCGA-DB-A4XE	-0.541000	0.965000
TCGA-DU-5872	-0.963000	0.844000
TCGA-CS-4942	-0.822000	0.806000
TCGA-HT-A614	-0.890000	0.899000
TCGA-DU-A7T8	-0.648000	0.966000
TCGA-TQ-A8XE	-1.029000	0.797000
TCGA-FG-8188	-0.263000	0.726000
TCGA-DU-7298	-0.842000	0.524000
TCGA-DH-A66B	-0.533000	0.489000
TCGA-TM-A7CF	-0.748000	0.100000
TCGA-WH-A86K	-0.433000	0.789000
TCGA-DU-8167	-0.527000	0.763000
TCGA-E1-5322	-0.836000	0.812000
TCGA-TQ-A7RV	-0.100000	0.756000
TCGA-E1-A7YI	-0.933000	0.889000
TCGA-TQ-A7RR	-0.797000	0.504000
TCGA-TQ-A7RH	-0.960000	0.882000
TCGA-S9-A7J0	-0.905000	1.891000
TCGA-HT-8108	-0.752000	0.889000
TCGA-FG-A87N	-0.985000	0.916000
TCGA-DU-7301	-0.949000	0.872000
TCGA-S9-A6U6	-0.387000	0.100000
TCGA-HT-7485	-0.210000	0.100000
TCGA-CS-4943	-0.971000	0.787000
TCGA-E1-5305	-0.872000	0.801000
TCGA-IK-7675	-1.092000	0.961000
TCGA-E1-5307	-0.686000	0.634000
TCGA-FG-A6J3	-0.865000	3.757000
TCGA-HT-7479	-0.100000	0.553000
TCGA-HT-A616	-0.664000	3.005000
TCGA-DU-A5TS	-0.891000	0.904000
TCGA-DU-A7TA	-0.490000	0.865000
TCGA-TM-A84H	-0.810000	2.088000
TCGA-FG-8185	-0.938000	1.548000
TCGA-DB-A4XB	-1.005000	0.266000
TCGA-HT-A5R5	-0.100000	0.944000
TCGA-E1-5304	-1.393000	0.664000
TCGA-DU-6407	-0.541000	1.002000
TCGA-P5-A5EZ	-0.737000	0.415000
TCGA-DU-7007	-0.894000	3.757000
TCGA-DH-A7UU	-0.854000	1.583000
TCGA-HT-7676	-0.100000	0.279000
TCGA-S9-A6WG	-0.100000	0.100000
TCGA-S9-A6WO	-0.100000	1.006000
TCGA-DB-5275	-0.824000	0.935000
TCGA-P5-A5F2	-0.945000	0.100000
TCGA-WY-A858	-0.782000	0.645000
TCGA-HT-A61B	-0.936000	0.409000
TCGA-FG-A70Y	-0.100000	1.317000
TCGA-DU-7309	-0.373000	0.293000
TCGA-DB-5277	-0.923000	1.530000
TCGA-P5-A5EV	-0.869000	0.772000
TCGA-FG-A4MT	-1.049000	0.464000
TCGA-FG-6691	-0.100000	0.788000
TCGA-HT-7690	-0.839000	0.100000
TCGA-HT-8013	-0.100000	0.837000
TCGA-CS-5393	-0.811000	1.871000
TCGA-E1-A7YE	-0.875000	0.386000
TCGA-QH-A6CW	-0.242000	1.781000
TCGA-FG-A4MY	-0.854000	0.778000
TCGA-P5-A72U	-0.553000	0.542000
