# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-F6-A8O4	-0.893000	0.850000
TCGA-QH-A65S	-0.824000	1.161000
TCGA-HT-7693	-0.991000	1.030000
TCGA-FN-7833	-0.998000	0.100000
TCGA-HT-A5R7	-0.540000	0.231000
TCGA-FG-8182	-0.100000	0.280000
TCGA-HT-7474	-0.647000	0.684000
TCGA-HT-8106	-0.382000	0.208000
TCGA-WY-A85B	-0.421000	0.322000
TCGA-FG-6690	-0.324000	0.577000
TCGA-HW-7490	-0.983000	0.929000
TCGA-DU-6401	-0.446000	0.100000
TCGA-DU-7011	-0.100000	0.336000
TCGA-S9-A6U1	-0.252000	0.319000
TCGA-HT-7611	-0.797000	0.290000
TCGA-HT-A5RB	-0.905000	0.100000
TCGA-E1-A7YH	-0.631000	0.201000
TCGA-FG-A60J	-0.948000	0.785000
TCGA-HW-A5KL	-0.256000	0.100000
TCGA-DB-A75M	-0.100000	0.620000
TCGA-HT-8114	-0.100000	0.696000
TCGA-HT-8018	-0.461000	0.436000
TCGA-P5-A5EW	-0.957000	0.100000
TCGA-E1-A7Z6	-0.100000	0.387000
TCGA-E1-A7Z4	-0.906000	0.100000
TCGA-HT-7884	-0.551000	0.586000
TCGA-HT-A618	-0.780000	0.299000
TCGA-HT-7684	-0.100000	0.740000
TCGA-E1-A7YK	-0.678000	0.842000
TCGA-DH-5143	-0.100000	0.244000
TCGA-TQ-A7RJ	-0.268000	0.229000
TCGA-HW-7489	-0.268000	0.221000
TCGA-S9-A7R7	-0.723000	0.100000
TCGA-CS-6667	-0.100000	0.870000
TCGA-DU-A76O	-0.246000	0.857000
TCGA-HT-7470	-0.797000	0.395000
TCGA-HT-7478	-0.679000	0.620000
TCGA-S9-A7R4	-0.279000	0.100000
TCGA-S9-A6TU	-0.100000	0.347000
TCGA-DB-5276	-0.209000	0.100000
TCGA-P5-A736	-0.100000	0.713000
TCGA-HW-8319	-0.858000	0.695000
TCGA-DU-8163	-0.100000	0.637000
TCGA-HT-7879	-0.483000	0.837000
TCGA-P5-A733	-0.884000	0.100000
TCGA-DH-A66D	-0.909000	0.507000
TCGA-DB-A64S	-0.100000	0.100000
TCGA-FG-A60L	-0.681000	1.054000
TCGA-HT-7688	-0.660000	0.556000
TCGA-TM-A84L	-0.758000	0.100000
TCGA-FG-6689	-0.670000	0.100000
TCGA-TM-A84F	-0.599000	0.100000
TCGA-HT-7902	-0.470000	0.100000
TCGA-FG-8191	-0.806000	0.100000
TCGA-WY-A85A	-0.388000	1.331000
TCGA-HW-A5KM	-0.849000	0.100000
TCGA-P5-A72X	-0.100000	0.595000
TCGA-DB-A4XC	-0.670000	0.100000
TCGA-HT-7880	-0.100000	0.234000
TCGA-S9-A6U9	-0.372000	0.100000
TCGA-DU-5853	-0.425000	0.355000
TCGA-TM-A7CA	-0.218000	0.712000
TCGA-E1-A7Z3	-0.213000	0.736000
TCGA-RY-A843	-0.100000	0.100000
TCGA-DB-5280	-0.848000	0.100000
