# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-DB-5273	-0.100000	0.979000
TCGA-DU-A5TP	-0.823000	0.209000
TCGA-DH-A66G	-0.604000	0.225000
TCGA-FG-5965	-0.781000	0.461000
TCGA-HT-7483	-0.100000	1.377000
TCGA-CS-6290	-0.100000	0.100000
TCGA-DU-5851	-0.482000	0.100000
TCGA-HT-7609	-0.298000	0.259000
TCGA-E1-5302	-0.859000	0.821000
TCGA-P5-A735	-0.319000	0.100000
TCGA-FG-7636	-0.565000	0.270000
TCGA-HT-7601	-0.739000	0.641000
TCGA-FG-A4MX	-1.028000	0.100000
TCGA-E1-A7YU	-0.738000	0.100000
TCGA-S9-A6TZ	-0.962000	0.562000
TCGA-HT-7472	-0.100000	0.100000
TCGA-DH-5142	-0.835000	0.671000
TCGA-HT-8111	-0.554000	0.878000
TCGA-HW-8320	-0.476000	0.248000
TCGA-QH-A870	-0.851000	0.768000
TCGA-DU-6399	-0.579000	0.444000
