MutationType	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
0:homdel:0-100kb	0.00179505	0.00223767	0.06404424	0.00096628	0.02582249	0.00349250	0.00000000	0.00021626	0.00818184	0.00779524	0.00161374	0.02309338	0.00224368	0.01214770	0.00674380	0.00366730	0.00136668	0.00110894	0.00591472	0.00004080	0.00000055	0.26686617	0.24410253	0.00037172	0.00607424
0:homdel:100kb-1Mb	0.00380710	0.00719579	0.00640384	0.00021955	0.02499357	0.00755031	0.00000000	0.00072098	0.02099919	0.03122532	0.00590270	0.05272477	0.03467842	0.03389276	0.02652628	0.00109281	0.00143123	0.00303045	0.00677398	0.00017845	0.00022928	0.02038467	0.02413956	0.00076055	0.00910729
0:homdel:>1Mb	0.00243675	0.00383711	0.01303343	0.00006120	0.00388870	0.00133617	0.00000000	0.00026934	0.00900922	0.00455881	0.00313081	0.00686610	0.01814564	0.00000044	0.00524487	0.04053983	0.00145330	0.00075840	0.00411050	0.00011722	0.00135207	0.00128224	0.00355824	0.00057559	0.00406158
1:LOH:0-100kb	0.00284045	0.00282654	0.06221358	0.05615077	0.01582912	0.00595583	0.00011082	0.00095040	0.01858365	0.00879753	0.00275430	0.02182354	0.00284705	0.00129939	0.00763888	0.00142666	0.00211427	0.00155560	0.01041569	0.00050182	0.00024820	0.02147356	0.13028998	0.00063502	0.14231364
1:LOH:100kb-1Mb	0.01226306	0.00632392	0.01261482	0.24779893	0.02654494	0.01052076	0.00504080	0.00728363	0.13080787	0.03974523	0.00623170	0.06597701	0.02886982	0.01293743	0.00252662	0.00580905	0.00507205	0.00141876	0.06429375	0.00081924	0.01235880	0.03489951	0.07688590	0.00460114	0.31035100
1:LOH:1Mb-10Mb	0.01916342	0.00102376	0.01928346	0.08336934	0.00135803	0.00099151	0.00007440	0.00220491	0.15994920	0.01091525	0.01775071	0.00423455	0.12860718	0.00002020	0.00000010	0.00343106	0.01868840	0.00028103	0.03777062	0.00624116	0.05642821	0.02442690	0.03485188	0.00430765	0.02695740
1:LOH:10Mb-40Mb	0.04729776	0.00048336	0.00871990	0.00010096	0.00057368	0.00040994	0.00000002	0.00366415	0.07622935	0.00290428	0.00184154	0.00004030	0.15419780	0.00000014	0.00000044	0.00204512	0.00550295	0.00000008	0.02105378	0.00283775	0.04607252	0.00355578	0.02090447	0.00262255	0.00255671
1:LOH:>40Mb	0.07364600	0.00012432	0.00409212	0.00230378	0.00008100	0.00017917	0.00000000	0.00608931	0.02700069	0.00148398	0.00005750	0.00000464	0.21568204	0.00000187	0.00030730	0.00064424	0.00000134	0.00000165	0.00174097	0.00001200	0.01887089	0.00245042	0.00226301	0.00227007	0.00097462
2:LOH:0-100kb	0.00118798	0.00248892	0.00138849	0.01414630	0.01335150	0.01925145	0.00277607	0.01111584	0.00411906	0.00635726	0.00148901	0.00590696	0.00005690	0.00762253	0.00228469	0.00067984	0.00055893	0.00273632	0.00566334	0.00060974	0.00070358	0.00299482	0.00000004	0.00325338	0.01041921
2:LOH:100kb-1Mb	0.00430310	0.01946487	0.03383514	0.04008938	0.25549641	0.17729216	0.00454340	0.02228290	0.01377423	0.08782354	0.01694496	0.08093648	0.02909678	0.00707926	0.02151070	0.01758306	0.00062269	0.00655180	0.05489644	0.00134094	0.06234918	0.07391626	0.00033402	0.27045782	0.00009090
2:LOH:1Mb-10Mb	0.00443801	0.03355154	0.01899058	0.00618009	0.26457582	0.11638285	0.00457336	0.00829832	0.01159439	0.13191050	0.04392020	0.13267104	0.03957572	0.02585003	0.00886790	0.01162738	0.08444233	0.00018517	0.11706714	0.01443458	0.03913487	0.07996051	0.00178993	0.20220440	0.00038481
2:LOH:10Mb-40Mb	0.00431859	0.05229118	0.00267497	0.00024516	0.06706589	0.00632481	0.00004110	0.00115938	0.00494515	0.08706983	0.02467614	0.17672789	0.01185966	0.09336807	0.00201416	0.00291477	0.08848328	0.00015695	0.04188772	0.00966270	0.00129894	0.01765472	0.00517329	0.01194696	0.00035044
2:LOH:>40Mb	0.01221565	0.06737476	0.00008240	0.00241502	0.01961649	0.00026093	0.00000000	0.00013197	0.00240731	0.01593395	0.01121149	0.13622451	0.00008500	0.55221235	0.00000033	0.00170498	0.00750380	0.00007260	0.03389879	0.00049936	0.00195567	0.00590559	0.00000000	0.00507870	0.00075049
3-4:LOH:0-100kb	0.00137995	0.00271740	0.00271910	0.01402566	0.00548025	0.00505183	0.00420447	0.00956472	0.00183353	0.00743812	0.00158209	0.00930253	0.00057156	0.00141835	0.00197133	0.00093853	0.00267395	0.00226406	0.01388264	0.00256100	0.00053506	0.00120412	0.00072698	0.00068511	0.00029668
3-4:LOH:100kb-1Mb	0.00166785	0.01381944	0.02381122	0.01144021	0.02685577	0.01351028	0.00232790	0.00466290	0.00284861	0.06845530	0.04824190	0.03071852	0.00817896	0.00688559	0.01163685	0.02159759	0.02375527	0.01402709	0.01258572	0.02182453	0.00002090	0.00824588	0.00079858	0.01143560	0.00000087
3-4:LOH:1Mb-10Mb	0.00151428	0.01247139	0.03436767	0.00010785	0.02951905	0.00409704	0.00021573	0.00349215	0.00344351	0.09646664	0.15626472	0.04005227	0.01705423	0.00687404	0.04837325	0.04370100	0.09462731	0.05963823	0.00110793	0.02055562	0.00277049	0.01081462	0.00034028	0.00576055	0.00002040
3-4:LOH:10Mb-40Mb	0.00010220	0.01063124	0.02189155	0.00000010	0.00455209	0.00005610	0.00000079	0.00219410	0.00139001	0.04754809	0.05527416	0.02606018	0.00759605	0.00128688	0.16721937	0.03291840	0.05183615	0.07185141	0.00278047	0.00224340	0.00027444	0.00356193	0.00074860	0.00075315	0.00001850
3-4:LOH:>40Mb	0.00736761	0.01742692	0.02529479	0.00000013	0.00073589	0.00032855	0.00000674	0.00339911	0.00119860	0.01319828	0.03509218	0.01659015	0.00381337	0.00007350	0.37328855	0.19071235	0.00224311	0.05059881	0.00421117	0.00094554	0.00172068	0.00544036	0.00044828	0.00053379	0.00008210
5-8:LOH:0-100kb	0.00035130	0.00168941	0.00000053	0.02552717	0.00066453	0.00048949	0.00552275	0.01077047	0.00037594	0.00260391	0.00501223	0.00578286	0.00294361	0.00316274	0.00348453	0.00347840	0.00128554	0.00482129	0.00002590	0.00091844	0.00000025	0.00074188	0.00000014	0.00022786	0.00088870
5-8:LOH:100kb-1Mb	0.00021211	0.00341625	0.00256956	0.00169273	0.00065250	0.00031046	0.00682636	0.00967529	0.00083617	0.02207809	0.04217432	0.00208666	0.00123595	0.00000647	0.01942632	0.00980644	0.00726579	0.02136849	0.00000814	0.00241053	0.00005460	0.00052182	0.00000160	0.00057740	0.00039106
5-8:LOH:1Mb-10Mb	0.00020778	0.00449531	0.00554920	0.00000019	0.00027819	0.00021435	0.00006780	0.00215584	0.00066162	0.02022345	0.07357179	0.00322838	0.00610440	0.00000023	0.02016289	0.01073875	0.01836005	0.04681185	0.00001580	0.00524955	0.00001670	0.00143403	0.00001530	0.00081046	0.00020654
5-8:LOH:10Mb-40Mb	0.00009970	0.00275604	0.00000071	0.00001310	0.00012570	0.00011771	0.00000000	0.00102283	0.00037649	0.00679665	0.01532663	0.00163617	0.00077852	0.00000896	0.01347168	0.00622641	0.00502947	0.02208834	0.00068876	0.00029923	0.00000036	0.00060541	0.00000014	0.00011455	0.00001430
5-8:LOH:>40Mb	0.00033194	0.01008962	0.00535955	0.00000014	0.00009880	0.00030406	0.00004930	0.00145962	0.00038263	0.00017289	0.00347323	0.00110016	0.00162804	0.00572642	0.06422257	0.01067078	0.00000129	0.00536994	0.00012041	0.00012116	0.00003900	0.00240895	0.00001830	0.00008700	0.00000011
9+:LOH:0-100kb	0.00013400	0.00052020	0.00000071	0.00001060	0.00131259	0.00493142	0.00632901	0.02204332	0.00075942	0.00018531	0.00062013	0.00048688	0.00004450	0.00000146	0.00300605	0.00384194	0.00012468	0.00241473	0.00107168	0.00014531	0.00000036	0.00249852	0.00000014	0.00049292	0.00087395
9+:LOH:100kb-1Mb	0.00041199	0.00066864	0.00216196	0.00000028	0.00330625	0.00545954	0.02139771	0.02838151	0.00123437	0.00299660	0.01160088	0.00011188	0.00344403	0.00000085	0.00785032	0.00471630	0.00005300	0.01211638	0.00117826	0.00085741	0.00000397	0.00067448	0.00003280	0.00037680	0.00133702
9+:LOH:1Mb-10Mb	0.00020077	0.00082900	0.00220660	0.00000028	0.00064923	0.00086716	0.01464548	0.00809473	0.00057456	0.00365022	0.02224864	0.00012019	0.00163639	0.00001100	0.00480835	0.00000235	0.00001370	0.01534961	0.00000016	0.00046208	0.00008480	0.00107810	0.00000014	0.00012195	0.00005590
9+:LOH:10Mb-40Mb	0.00000651	0.00035090	0.00211290	0.00000028	0.00001510	0.00001270	0.00000061	0.00002530	0.00001020	0.00044558	0.00252885	0.00006140	0.00000061	0.00000159	0.00234481	0.00000235	0.00005290	0.00097940	0.00000016	0.00010940	0.00001590	0.00009020	0.00000014	0.00000571	0.00003140
