"Case_ID","arm","avg_ratio","log_ratio","SCNA_event"
"TCGA-HT-8563-01A-11D-2391-01","chr1p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr1q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr2p",0.585929909073865,-0.7712,-1
"TCGA-HT-8563-01A-11D-2391-01","chr2q",1.23165653839833,0.3006,1
"TCGA-HT-8563-01A-11D-2391-01","chr3p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr3q",1.22809212301994,0.296418785821335,0
"TCGA-HT-8563-01A-11D-2391-01","chr4p",0.54103731336609,-0.8862,-1
"TCGA-HT-8563-01A-11D-2391-01","chr4q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr5p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr5q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr6p",1.23827142689927,0.30832758540912,1
"TCGA-HT-8563-01A-11D-2391-01","chr6q",0.901089150046486,-0.150258247486322,0
"TCGA-HT-8563-01A-11D-2391-01","chr7p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr7q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr8p",0.355470070615483,-1.4922,-1
"TCGA-HT-8563-01A-11D-2391-01","chr8q",0.161835498308133,-2.6274,-1
"TCGA-HT-8563-01A-11D-2391-01","chr9p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr9q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr10p",0.786217292140332,-0.347,-1
"TCGA-HT-8563-01A-11D-2391-01","chr10q",0.775661983727288,-0.3665,-1
"TCGA-HT-8563-01A-11D-2391-01","chr11p",0.773319887715348,-0.370862779111874,-1
"TCGA-HT-8563-01A-11D-2391-01","chr11q",0.494930828819887,-1.01470118563792,-1
"TCGA-HT-8563-01A-11D-2391-01","chr12p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr12q",0.953878236474776,-0.0681229783899094,0
"TCGA-HT-8563-01A-11D-2391-01","chr13p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr13q",0.976820490648502,-0.0338346310004993,0
"TCGA-HT-8563-01A-11D-2391-01","chr14p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr14q",0.779750275901132,-0.358915936815187,-1
"TCGA-HT-8563-01A-11D-2391-01","chr15p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr15q",0.78825384894444,-0.343267785463054,-1
"TCGA-HT-8563-01A-11D-2391-01","chr16p",0.374853817578957,-1.4156,-1
"TCGA-HT-8563-01A-11D-2391-01","chr16q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr17p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr17q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr18p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr18q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr19p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr19q",0.787758974579618,-0.344173809582655,-1
"TCGA-HT-8563-01A-11D-2391-01","chr20p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr20q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr21p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr21q",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr22p",1,0,0
"TCGA-HT-8563-01A-11D-2391-01","chr22q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr1p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr1q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr2p",1.36027656195176,0.4439,1
"TCGA-DB-5273-01A-01D-1466-01","chr2q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr3p",0.441126003222863,-1.18073728885544,-1
"TCGA-DB-5273-01A-01D-1466-01","chr3q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr4p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr4q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr5p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr5q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr6p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr6q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr7p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr7q",0.28151818050801,-1.8287,-1
"TCGA-DB-5273-01A-01D-1466-01","chr8p",0.422874068737235,-1.2417,-1
"TCGA-DB-5273-01A-01D-1466-01","chr8q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr9p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr9q",0.481446703508594,-1.05455199534327,-1
"TCGA-DB-5273-01A-01D-1466-01","chr10p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr10q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr11p",0.460157612281273,-1.1198,-1
"TCGA-DB-5273-01A-01D-1466-01","chr11q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr12p",1.47594898804931,0.561642859636744,1
"TCGA-DB-5273-01A-01D-1466-01","chr12q",0.449262459370329,-1.15436958041751,-1
"TCGA-DB-5273-01A-01D-1466-01","chr13p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr13q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr14p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr14q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr15p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr15q",0.788599425121135,-0.342635436147428,-1
"TCGA-DB-5273-01A-01D-1466-01","chr16p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr16q",0.555978114889256,-0.8469,-1
"TCGA-DB-5273-01A-01D-1466-01","chr17p",1.66128546686788,0.7323,1
"TCGA-DB-5273-01A-01D-1466-01","chr17q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr18p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr18q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr19p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr19q",0.674364267771076,-0.5684,-1
"TCGA-DB-5273-01A-01D-1466-01","chr20p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr20q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr21p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr21q",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr22p",1,0,0
"TCGA-DB-5273-01A-01D-1466-01","chr22q",0.662575783555591,-0.59384261948338,-1
"TCGA-DU-6542-01A-11D-1892-01","chr1p",1.42672726866285,0.512709577453736,1
"TCGA-DU-6542-01A-11D-1892-01","chr1q",0.888020486435205,-0.171335135274197,0
"TCGA-DU-6542-01A-11D-1892-01","chr2p",1.42020579629615,0.5061,1
"TCGA-DU-6542-01A-11D-1892-01","chr2q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr3p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr3q",1.3766864376272,0.4612,1
"TCGA-DU-6542-01A-11D-1892-01","chr4p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr4q",0.308277179138607,-1.6977,-1
"TCGA-DU-6542-01A-11D-1892-01","chr5p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr5q",1.38616596402353,0.4711,1
"TCGA-DU-6542-01A-11D-1892-01","chr6p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr6q",0.626439024681449,-0.674754005245787,-1
"TCGA-DU-6542-01A-11D-1892-01","chr7p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr7q",1.46025594025377,0.546221253608145,1
"TCGA-DU-6542-01A-11D-1892-01","chr8p",1.39774385271446,0.4831,1
"TCGA-DU-6542-01A-11D-1892-01","chr8q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr9p",0.402985546214959,-1.3112,-1
"TCGA-DU-6542-01A-11D-1892-01","chr9q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr10p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr10q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr11p",1.33357595758529,0.4153,1
"TCGA-DU-6542-01A-11D-1892-01","chr11q",1.40536716269394,0.490947094572307,1
"TCGA-DU-6542-01A-11D-1892-01","chr12p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr12q",1.33024019300392,0.411686767507521,1
"TCGA-DU-6542-01A-11D-1892-01","chr13p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr13q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr14p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr14q",0.647685726592867,-0.626634143920789,-1
"TCGA-DU-6542-01A-11D-1892-01","chr15p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr15q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr16p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr16q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr17p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr17q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr18p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr18q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr19p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr19q",0.646772673789592,-0.628669368798502,-1
"TCGA-DU-6542-01A-11D-1892-01","chr20p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr20q",0.2543612570679,-1.97504915104398,-1
"TCGA-DU-6542-01A-11D-1892-01","chr21p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr21q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr22p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr22q",0.243045781690457,-2.0407,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr1p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr1q",0.449876215431476,-1.1524,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr2p",0.478503041490451,-1.0634,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr2q",0.583422594241636,-0.777386836232404,-1
