cytoband	4q12	12q14.1	12p13.32	8q24.13	11q23.3	10p15.3	13q33.3	2p24.3	12p13.31	19p13.3	8q23.3	8q24.3	15q26.3	12p12.1	8q23.1	9q34.3	12q24.31	7q32.3	17q25.3	
q value	5.7894e-11	5.7894e-11	2.3823e-11	2.695e-09	9.5643e-05	0.00017783	0.0029874	0.0063399	5.1518e-07	0.015172	2.891e-08	1.3367e-06	0.036033	0.063121	4.4144e-05	0.088781	0.1486	0.1689	0.21726	
residual q value	5.7894e-11	5.7894e-11	2.7988e-10	2.5266e-05	9.5643e-05	0.00017783	0.0029874	0.0063399	0.011331	0.015172	0.018939	0.024925	0.036033	0.063121	0.065628	0.088781	0.1486	0.1689	0.21726	
wide peak boundaries	chr4:54111915-54132495	chr12:57681691-57757189	chr12:3862590-4010316	chr8:120850733-132144405	chr11:117417166-135086622	chr10:1-1437010	chr13:107953396-110958534	chr2:15928092-16185749	chr12:8474547-10226981	chr19:706033-835865	chr8:112109332-113408217	chr8:128467154-145138636	chr15:98333230-99249595	chr12:19224645-26875903	chr8:100160329-110063578	chr9:137434390-138394717	chr12:113430907-133275309	chr7:72515918-159345973	chr17:59567813-83257441	
genes in wide peak	[GSX2]	CDK4	PARP11	ADCY8	ACRV1	ADARB2	COL4A1	MYCN	hsa-mir-1244-3	AZU1	CSMD3	ADCY8	IGF1R	BCAT1	ANGPT1	CACNA1B	ACADS	hsa-mir-1975	AANAT	
		TSPAN31		ANXA13	APLP2	IDI1	COL4A2	MYCNOS	A2M	PALM	MIR2053	ADGRB1	SYNM	GYS2	ATP6V1C1	NOXA1	BCL7A	hsa-mir-96	ACOX1	
		OS9		HAS2	ARCN1	ZMYND11	ING1	MYCNUT	A2MP1	PTBP1		CYC1	TTC23	IAPP	DPYS	NSMF	SCARB1	AOC1	ACTG1	
		MARCH9		KCNQ3	FXYD2	WDR37	LIG4	GACAT3	CD69	PLPPR3		CYP11B1	PGPEP1L	ITPR2	EIF3E	MRPL41	COX6A1	ACHE	BIRC5	
		AGAP2		MYC	CXCR5	DIP2C	IRS2		PHC1	MISP		CYP11B2	FAM169B	KCNJ8	ODF1	EHMT1	EIF2B1	AKR1B1	APOH	
		AGAP2-AS1		NDUFB9	CBL	LARP4B	TNFSF13B		KLRB1	MIR3187		EEF1D	MIR4714	KRAS	SPAG1	ARRDC1-AS1	STX2	ARF5	ARHGDIA	
		MIR6759		POU5F1B	CD3D	GTPBP4	MYO16		M6PR	MIR4745		GLI4	IRAIN	LDHB	KLF10	ARRDC1	GOLGA3	ASNS	CA4	
