cytoband	1p13.3	2p12	9q34.3	12p13.32	12q12	22q12.3	12p13.33	2p16.3	12q24.33	3p12.1	
q value	0.10445	0.10445	0.10445	0.10445	0.10445	0.10445	0.10445	0.17461	0.21121	0.23511	
residual q value	0.10445	0.10445	0.10445	0.10445	0.10445	0.10445	0.10708	0.17461	0.21121	0.23511	
wide peak boundaries	chr1:108347612-108489486	chr2:74918260-75009641	chr9:137315747-138394717	chr12:3902410-4006296	chr12:42805562-43355363	chr22:36206205-36329958	chr12:1046701-1812626	chr2:50626536-51143132	chr12:132103028-132136786	chr3:83559601-83836673	
genes in wide peak	NBPF6	POLE4	CACNA1B	[PARP11]	ADAMTS20	MYH9	ERC1	NRXN1	DDX51	[LINC00971]	
		LINC01291	NOXA1			APOL1	ADIPOR2	LOC730100	EP400NL		
			NSMF			APOL2	WNT5B	MIR8485			
			EXD3			MIR6819	CACNA2D4				
			MRPL41				FBXL14				
			EHMT1				LINC00942				
			ARRDC1-AS1				MIR3649				
			ARRDC1								
			DPH7								
			ZMYND19								
			PNPLA7								
			ENTPD8								
			EHMT1-IT1								
			TUBBP5								
			MIR602								
			FAM157B								
			LOC100133077								
			LOC101928786								
			LOC101928932								
			MIR7114								
			LOC105376331								
