cytoband	19q13.43	9p21.3	22q13.31	19q13.31	13q14.3	11p15.4	19q13.12	
q value	1.6239e-19	0.0016009	0.0015267	6.5125e-05	0.045001	0.09407	0.06469	
residual q value	8.6482e-19	0.0016009	0.0016009	0.0088602	0.045001	0.09407	0.11485	
wide peak boundaries	chr19:54940787-57124931	chr9:21859688-22020043	chr22:42719124-50818468	chr19:41978040-45597235	chr13:34635567-62677257	chr11:1-8621472	chr19:37261815-40199878	
genes in wide peak	IL11	CDKN2A	ACR	APOC1	ATP7B	AP2A2	ACTN4	
	PEG3	CDKN2B	ARSA	APOC1P1	RCBTB2	APBB1	CLC	
	PTPRH	CDKN2A-AS1	BIK	APOC2	CPB2	RHOG	ECH1	
	RPL28		TSPO	APOC4	ELF1	ART1	FBL	
	SYT5		MPPED1	APOE	ESD	ASCL2	HNRNPL	
	TNNI3		CHKB	BCL3	FOXO1	CARS	LGALS4	
	TNNT1		CPT1B	CEACAM1	MLNR	CCKBR	LGALS7	
	U2AF2		TYMP	CEACAM8	GTF2F2	CD81	NFKBIB	
	PPP6R1		FBLN1	CKM	GUCY1B2	CD151	PSMC4	
	ZIM2		PPARA	CLPTM1	HTR2A	CDKN1C	PSMD8	
	HSPBP1		MAPK11	MEGF8	KPNA3	TPP1	MRPS12	
	UBE2S		MAPK12	ERCC1	LCP1	CNGA4	RPS16	
	CCDC106		SBF1	ERCC2	MAB21L1	CTSD	RYR1	
	EPN1		UPK3A	ERF	SMAD9	DRD4	SUPT5H	
	ZNF580		WNT7B	FOSB	NEK3	DUSP8	ZFP36	
	GP6		CELSR1	GRIK5	PCDH8	HBB	DPF1	
	ZNF581		PPP6R2	GSK3A	RB1	HBBP1	FCGBP	
	PPP1R12C		ZBED4	KCNN4	RFXAP	HBD	DYRK1B	
	EPS8L1		SCO2	LIPE	TPT1	HBE1	KCNK6	
	ZNF444		PKDREJ	BCAM	TRPC4	HBG1	GMFG	
	NLRP2		NUP50	PAFAH1B3	TNFSF11	HBG2	PAK4	
	NAT14		RABL2B	PLAUR	SUCLA2	HPX	SPINT2	
	ZNF471		PACSIN2	POU2F2	DLEU2	HRAS	DLL3	
	ZNF71		GRAMD4	PSG1	TSC22D1	IGF2	MAP4K1	
	ZNF667		TTLL12	PSG2	CCNA1	ILK	ZFP30	
	ZSCAN5A		MLC1	PSG3	DCLK1	INS	SIRT2	
	ISOC2		KIAA0930	PSG4	ITM2B	IRF7	SIPA1L3	
	BRSK1		MAPK8IP2	PSG5	MTRF1	KCNQ1	EIF3K	
	KMT5C		PLXNB2	PSG6	UTP14C	LMO1	LGALS13	
	FIZ1		BRD1	PSG7	LPAR6	LSP1	ZNF571	
	GALP		ARHGAP8	PSG9	SLC25A15	MUC2	PAF1	
	ZNF628		TBC1D22A	PSG11	LHFP	MUC5AC	SARS2	
	ZNF835		TTLL1	PVR	TRIM13	MUC6	SAMD4B	
