Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-F6-A8O4	TCGA-QH-A65S	TCGA-HT-7693	TCGA-FN-7833	TCGA-HT-A5R7	TCGA-FG-8182	TCGA-HT-7474	TCGA-HT-8106	TCGA-WY-A85B	TCGA-FG-6690	TCGA-HW-7490	TCGA-DU-6401	TCGA-DU-7011	TCGA-S9-A6U1	TCGA-HT-7611	TCGA-HT-A5RB	TCGA-E1-A7YH	TCGA-FG-A60J	TCGA-HW-A5KL	TCGA-DB-A75M	TCGA-HT-8114	TCGA-HT-8018	TCGA-P5-A5EW	TCGA-E1-A7Z6	TCGA-E1-A7Z4	TCGA-HT-7884	TCGA-HT-A618	TCGA-HT-7684	TCGA-E1-A7YK	TCGA-DH-5143	TCGA-TQ-A7RJ	TCGA-HW-7489	TCGA-S9-A7R7	TCGA-CS-6667	TCGA-DU-A76O	TCGA-HT-7470	TCGA-HT-7478	TCGA-S9-A7R4	TCGA-S9-A6TU	TCGA-DB-5276	TCGA-P5-A736	TCGA-HW-8319	TCGA-DU-8163	TCGA-HT-7879	TCGA-P5-A733	TCGA-DH-A66D	TCGA-DB-A64S	TCGA-FG-A60L	TCGA-HT-7688	TCGA-TM-A84L	TCGA-FG-6689	TCGA-TM-A84F	TCGA-HT-7902	TCGA-FG-8191	TCGA-WY-A85A	TCGA-HW-A5KM	TCGA-P5-A72X	TCGA-DB-A4XC	TCGA-HT-7880	TCGA-S9-A6U9	TCGA-DU-5853	TCGA-TM-A7CA	TCGA-E1-A7Z3	TCGA-RY-A843	TCGA-DB-5280	
Amplification Peak  1	1q31.2  	chr1:191240012-191542430(probes 19093:19123)    	chr1:191249630-191532526(probes 19094:19122)    	chr1:191249630-191562238(probes 19094:19125)    	0.13249	 0.13249		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  2	2p24.3  	chr2:16006919-16187239(probes 26332:26343)        	chr2:16016878-16177241(probes 26333:26342)        	chr2:16016878-16207235(probes 26333:26345)        	0.18988	 0.18988		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Amplification Peak  3	3q13.33 	chr3:121561485-121691352(probes 61272:61285)    	chr3:121571466-121681375(probes 61273:61284)    	chr3:121571466-121711307(probes 61273:61287)    	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  4	4q12    	chr4:48058023-52927454(probes 73826:73948)        	chr4:51871674-52917847(probes 73836:73947)        	chr4:48067891-56590400(probes 73827:74335)        	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  5	4q12    	chr4:53507031-54245443(probes 74010:74086)        	chr4:53516908-54236286(probes 74011:74085)        	chr4:48067891-56590400(probes 73827:74335)        	0.11733	 0.13386		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  6	4q12    	chr4:54450421-56570857(probes 74110:74333)        	chr4:54460278-56561085(probes 74111:74332)        	chr4:48067891-56590400(probes 73827:74335)        	0.11733	 0.13386		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  7	4q12    	chr4:56873784-56939662(probes 74366:74373)        	chr4:56883556-56930978(probes 74367:74372)        	chr4:56883556-57013735(probes 74367:74382)        	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  8	5p15.1  	chr5:17452257-18355417(probes 89469:89533)        	chr5:17462221-18345763(probes 89470:89532)        	chr5:17462221-18374725(probes 89470:89535)        	0.18988	 0.18988		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Amplification Peak  9	7p21.2  	chr7:14376277-14523500(probes 125047:125063)      	chr7:14380888-14513950(probes 125048:125062)      	chr7:14380888-14542601(probes 125048:125065)      	0.13663	 0.13663		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Amplification Peak 10	7q21.12 	chr7:86860310-87021468(probes 131886:131905)      	chr7:86863855-87011554(probes 131887:131904)      	chr7:86863855-87041297(probes 131887:131907)      	0.11733	 0.11733		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
