Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-HT-8563	TCGA-DU-6542	TCGA-HW-8321	TCGA-HT-7603	TCGA-HT-7686	TCGA-HT-7689	TCGA-TM-A84Q	TCGA-HT-7604	TCGA-HT-A74O	TCGA-WY-A859	TCGA-P5-A780	TCGA-TM-A84I	TCGA-QH-A6X3	TCGA-HT-7873	TCGA-DU-7304	TCGA-TM-A7C4	TCGA-DU-7010	TCGA-HT-7855	TCGA-CS-6665	TCGA-S9-A6TV	TCGA-DB-A4XE	TCGA-DU-5872	TCGA-CS-4942	TCGA-HT-A614	TCGA-DU-A7T8	TCGA-TQ-A8XE	TCGA-FG-8188	TCGA-DU-7298	TCGA-DH-A66B	TCGA-TM-A7CF	TCGA-WH-A86K	TCGA-DU-8167	TCGA-E1-5322	TCGA-TQ-A7RV	TCGA-E1-A7YI	TCGA-TQ-A7RR	TCGA-TQ-A7RH	TCGA-S9-A7J0	TCGA-HT-8108	TCGA-FG-A87N	TCGA-DU-7301	TCGA-S9-A6U6	TCGA-HT-7485	TCGA-CS-4943	TCGA-E1-5305	TCGA-IK-7675	TCGA-E1-5307	TCGA-FG-A6J3	TCGA-HT-7479	TCGA-HT-A616	TCGA-DU-A5TS	TCGA-DU-A7TA	TCGA-TM-A84H	TCGA-FG-8185	TCGA-DB-A4XB	TCGA-HT-A5R5	TCGA-E1-5304	TCGA-DU-6407	TCGA-P5-A5EZ	TCGA-DU-7007	TCGA-DH-A7UU	TCGA-HT-7676	TCGA-S9-A6WG	TCGA-S9-A6WO	TCGA-DB-5275	TCGA-P5-A5F2	TCGA-WY-A858	TCGA-HT-A61B	TCGA-FG-A70Y	TCGA-DU-7309	TCGA-DB-5277	TCGA-P5-A5EV	TCGA-FG-A4MT	TCGA-FG-6691	TCGA-HT-7690	TCGA-HT-8013	TCGA-CS-5393	TCGA-E1-A7YE	TCGA-QH-A6CW	TCGA-FG-A4MY	TCGA-P5-A72U	TCGA-P5-A72W	TCGA-DB-A4X9	TCGA-E1-A7YW	TCGA-S9-A7R8	TCGA-DU-A6S7	TCGA-VM-A8C8	TCGA-HT-7858	TCGA-DB-A75L	TCGA-DH-A7UT	TCGA-DU-7306	TCGA-HT-7473	TCGA-DU-5871	TCGA-WY-A85C	TCGA-DU-7015	TCGA-S9-A7IS	TCGA-TQ-A7RW	TCGA-TQ-A7RF	TCGA-QH-A6X9	TCGA-DB-5281	TCGA-DH-A7UV	TCGA-RY-A845	TCGA-DU-A7TC	TCGA-DU-6395	TCGA-CS-4944	TCGA-S9-A7QW	TCGA-CS-6666	TCGA-S9-A89Z	TCGA-P5-A5F4	TCGA-DU-A5TW	TCGA-DU-8166	TCGA-S9-A7R3	TCGA-HT-7606	TCGA-TM-A84T	TCGA-DU-5855	TCGA-DU-A5TR	TCGA-DB-A64X	TCGA-WY-A85D	TCGA-DB-5270	TCGA-DU-7299	TCGA-P5-A5F1	TCGA-S9-A7IZ	TCGA-DB-A75O	TCGA-VM-A8CF	TCGA-DU-6408	TCGA-RY-A83Z	TCGA-TQ-A7RK	TCGA-HT-7475	TCGA-HT-7482	TCGA-E1-5303	TCGA-HT-7610	TCGA-DU-A5TU	TCGA-DU-6396	TCGA-VV-A86M	TCGA-CS-4938	TCGA-P5-A731	TCGA-DB-A4XF	TCGA-S9-A6TS	TCGA-QH-A6XA	TCGA-TQ-A7RM	TCGA-DU-7008	TCGA-P5-A5EU	TCGA-HT-7476	TCGA-FG-A711	TCGA-S9-A7QX	TCGA-VM-A8CH	TCGA-DB-A4XD	TCGA-HT-A74J	TCGA-E1-A7YV	TCGA-HT-7477	
Amplification Peak  1	2p24.3  	chr2:15928092-16185749(probes 24915:24937)        	chr2:16086759-16177241(probes 24933:24936)        	chr2:15746231-16202765(probes 24889:24939)        	0.0063399	  0.0063399		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	
Amplification Peak  2	4q12    	chr4:54111915-54132495(probes 74691:74694)        	chr4:54116061-54124094(probes 74692:74693)        	chr4:51832471-59153138(probes 74405:75363)        	5.7894e-11	 5.7894e-11		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
Amplification Peak  3	7q32.3  	chr7:72515918-159345973(probes 134640:143837)    	chr7:130817372-131032963(probes 140897:140917)  	chr7:130817372-131061896(probes 140897:140920)  	0.1689	     0.1689		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	2	0	1	0	1	1	1	1	0	1	0	1	0	0	0	2	1	0	0	0	1	1	1	0	1	0	2	1	1	0	0	0	0	2	0	0	1	1	0	0	1	2	0	0	1	2	2	0	0	1	2	0	1	1	0	1	
Amplification Peak  4	8q23.1  	chr8:100160329-110063578(probes 154176:155339)  	chr8:106866673-107174370(probes 154955:154989)  	chr8:99774658-145138636(probes 154130:159276)    	4.4144e-05	   0.065628		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	2	1	1	0	0	2	0	1	2	0	0	0	0	0	2	0	0	1	0	2	0	2	0	1	1	0	1	2	0	2	2	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	2	1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	1	1	0	2	
Amplification Peak  5	8q23.3  	chr8:112109332-113408217(probes 155606:155757)  	chr8:112741022-112942130(probes 155680:155700)  	chr8:99774658-145138636(probes 154130:159276)    	2.891e-08	   0.018939		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	2	2	1	2	0	0	0	0	1	0	2	1	0	2	1	1	2	1	2	2	0	2	0	1	2	0	0	0	0	0	2	0	1	1	0	2	0	2	0	1	1	0	1	2	0	2	2	0	2	0	1	0	1	2	0	0	1	1	0	1	0	2	0	1	0	0	1	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	2	1	1	0	2	1	2	1	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	1	1	0	2	
Amplification Peak  6	8q24.13 	chr8:120850733-132144405(probes 156654:157995)  	chr8:124582676-125028972(probes 157102:157151)  	chr8:99774658-145138636(probes 154130:159276)    	2.695e-09	 2.5266e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	1	2	1	0	0	0	1	1	1	1	0	1	1	0	2	0	0	1	1	0	1	0	0	1	0	2	0	1	1	1	1	0	0	0	0	1	0	2	1	0	2	1	1	2	1	1	2	0	2	0	0	2	0	0	0	1	1	2	0	1	1	0	2	0	2	0	1	1	0	1	1	0	2	2	0	2	0	1	0	1	1	0	0	1	1	1	1	0	2	0	1	0	0	1	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	0	2	0	0	0	1	0	0	2	2	1	0	2	1	2	1	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	1	1	0	2	
Amplification Peak  7	8q24.3  	chr8:128467154-145138636(probes 157571:159276)  	chr8:140548705-140620315(probes 159034:159042)  	chr8:99774658-145138636(probes 154130:159276)    	1.3367e-06	   0.024925		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	1	2	1	0	0	0	1	1	1	0	0	1	1	0	2	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	1	2	1	1	2	0	2	0	0	2	0	0	0	1	1	2	0	1	1	0	2	0	2	0	1	1	0	1	1	0	2	1	0	1	0	1	0	1	1	0	0	1	0	2	1	0	2	0	1	0	0	0	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	2	2	1	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	1	0	2	
Amplification Peak  8	9q34.3  	chr9:137434390-138394717(probes 171189:171261)  	chr9:137563957-137839736(probes 171202:171234)  	chr9:137443788-138394717(probes 171190:171261)  	0.088781	   0.088781		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	
Amplification Peak  9	10p15.3 	chr10:1-1437010(probes 171262:171371)               	chr10:1-546985(probes 171262:171286)                 	chr10:1-5960787(probes 171262:171873)               	0.00017783	 0.00017783		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	0	0	0	0	0	1	1	2	0	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	2	0	0	2	0	2	0	2	0	1	0	1	0	1	0	2	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	
Amplification Peak 10	11q23.3 	chr11:117417166-135086622(probes 198193:200140)	chr11:119811514-120023042(probes 198478:198500)	chr11:115212453-135086622(probes 197935:200140)	9.5643e-05	 9.5643e-05		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	0	1	1	1	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
