Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	TCGA-DB-5273	TCGA-DU-A5TP	TCGA-DH-A66G	TCGA-FG-5965	TCGA-HT-7483	TCGA-CS-6290	TCGA-DU-5851	TCGA-HT-7609	TCGA-E1-5302	TCGA-P5-A735	TCGA-FG-7636	TCGA-HT-7601	TCGA-FG-A4MX	TCGA-E1-A7YU	TCGA-S9-A6TZ	TCGA-HT-7472	TCGA-DH-5142	TCGA-HT-8111	TCGA-HW-8320	TCGA-QH-A870	TCGA-DU-6399	
Amplification Peak  1	1p13.3  	chr1:108347612-108489486(probes 10582:10596)    	chr1:108357562-108479494(probes 10583:10595)    	chr1:108357562-108509471(probes 10583:10598)    	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  2	2p16.3  	chr2:50626536-51143132(probes 26956:26975)        	chr2:50636525-51133336(probes 26957:26974)        	chr2:50636525-51162724(probes 26957:26977)        	0.17461	 0.17461		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Amplification Peak  3	2p12    	chr2:74918260-75009641(probes 29373:29383)        	chr2:74927810-74999662(probes 29374:29382)        	chr2:74927810-75029600(probes 29374:29385)        	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Amplification Peak  4	3p12.1  	chr3:83559601-83836673(probes 54344:54371)        	chr3:83569595-83826892(probes 54345:54370)        	chr3:83569595-83856236(probes 54345:54373)        	0.23511	 0.23511		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  5	9q34.3  	chr9:137315747-138394717(probes 159803:159878)  	chr9:137325417-138394717(probes 159804:159878)  	chr9:137156787-138394717(probes 159789:159878)  	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	
Amplification Peak  6	12p13.33	chr12:1046701-1812626(probes 186815:186892)        	chr12:1056561-1802663(probes 186816:186891)        	chr12:1-8720322(probes 186787:187597)               	0.10445	 0.10708		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	
Amplification Peak  7	12p13.32	chr12:3902410-4006296(probes 187107:187117)        	chr12:3912358-3996304(probes 187108:187116)        	chr12:1-8720322(probes 186787:187597)               	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	
Amplification Peak  8	12q12   	chr12:42805562-43355363(probes 190525:190580)    	chr12:42815500-43345445(probes 190526:190579)    	chr12:42815500-43375198(probes 190526:190582)    	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Amplification Peak  9	12q24.33	chr12:132103028-132136786(probes 199599:199603)	chr12:132111797-132126980(probes 199600:199602)	chr12:132111797-132156397(probes 199600:199605)	0.21121	 0.21121		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Amplification Peak 10	22q12.3 	chr22:36206205-36329958(probes 267428:267441)    	chr22:36214526-36320268(probes 267429:267440)    	chr22:36214526-36349338(probes 267429:267443)    	0.10445	 0.10445		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 1	9p21.3  	chr9:21859688-22020043(probes 151173:151188)  	chr9:21948885-22020043(probes 151182:151188)  	chr9:21401195-22674006(probes 151125:151256)  	0.0016009	  0.0016009		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	
Deletion Peak 2	11p15.4 	chr11:1-8621472(probes 173312:174118)           	chr11:2113912-4380280(probes 173481:173691)    	chr11:1-4400244(probes 173312:173693)           	0.09407	    0.09407		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	
Deletion Peak 3	13q14.3 	chr13:34635567-62677257(probes 201227:204109)	chr13:51072650-51470472(probes 202899:202942)	chr13:49818894-53371722(probes 202771:203139)	0.045001	   0.045001		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	
Deletion Peak 4	19q13.12	chr19:37261815-40199878(probes 254123:254433)	chr19:37301074-37629065(probes 254127:254164)	chr19:37340333-37361048(probes 254131:254132)	0.06469	    0.11485		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
Deletion Peak 5	19q13.31	chr19:41978040-45597235(probes 254611:254909)	chr19:43459714-44248735(probes 254690:254769)	chr19:41672829-58617616(probes 254578:256166)	6.5125e-05	  0.0088602		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	
